batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
1,512,2,25,216557056.0,no,514.768123626709
2,512,2,25,216557056.0,no,362.5466823577881
3,512,2,25,216557056.0,no,417.644739151001
4,512,2,25,216557056.0,no,350.7273197174072
5,512,2,25,216557056.0,no,428.7235736846924
1,512,2,26,219965952.0,no,349.63011741638184
2,512,2,26,219965952.0,no,407.3047637939453
3,512,2,26,219965952.0,no,347.29647636413574
4,512,2,26,219965952.0,no,345.29781341552734
5,512,2,26,219965952.0,no,417.6630973815918
1,512,2,27,223374848.0,no,346.3575839996338
2,512,2,27,223374848.0,no,411.64255142211914
3,512,2,27,223374848.0,no,346.6787338256836
4,512,2,27,223374848.0,no,405.92217445373535
5,512,2,27,223374848.0,no,346.67038917541504
1,512,2,28,226783744.0,no,344.4240093231201
2,512,2,28,226783744.0,no,411.44847869873047
3,512,2,28,226783744.0,no,344.62451934814453
4,512,2,28,226783744.0,no,413.6853218078613
5,512,2,28,226783744.0,no,345.0503349304199
1,512,2,29,230192640.0,no,409.6870422363281
2,512,2,29,230192640.0,no,348.4959602355957
3,512,2,29,230192640.0,no,344.7606563568115
4,512,2,29,230192640.0,no,410.1979732513428
5,512,2,29,230192640.0,no,344.19918060302734
1,512,2,30,233601536.0,no,416.56970977783203
2,512,2,30,233601536.0,no,345.88003158569336
3,512,2,30,233601536.0,no,418.3633327484131
4,512,2,30,233601536.0,no,347.8879928588867
5,512,2,30,233601536.0,no,347.9468822479248
1,512,2,31,237010432.0,no,415.85612297058105
2,512,2,31,237010432.0,no,348.2658863067627
3,512,2,31,237010432.0,no,416.7759418487549
4,512,2,31,237010432.0,no,347.0299243927002
5,512,2,31,237010432.0,no,422.59931564331055
1,512,2,32,240419328.0,no,350.9528636932373
2,512,2,32,240419328.0,no,415.7755374908447
3,512,2,32,240419328.0,no,349.5221138000488
4,512,2,32,240419328.0,no,349.7493267059326
5,512,2,32,240419328.0,no,415.208101272583
1,768,2,25,373987584.0,no,347.5916385650635
2,768,2,25,373987584.0,no,413.9385223388672
3,768,2,25,373987584.0,no,347.69129753112793
4,768,2,25,373987584.0,no,407.8707695007324
5,768,2,25,373987584.0,no,355.7093143463135
1,768,2,26,381067008.0,no,344.7756767272949
2,768,2,26,381067008.0,no,414.1373634338379
3,768,2,26,381067008.0,no,347.98383712768555
4,768,2,26,381067008.0,no,418.4608459472656
5,768,2,26,381067008.0,no,345.91150283813477
1,768,2,27,388146432.0,no,414.08467292785645
2,768,2,27,388146432.0,no,348.53243827819824
3,768,2,27,388146432.0,no,352.6613712310791
4,768,2,27,388146432.0,no,416.1505699157715
5,768,2,27,388146432.0,no,351.0925769805908
1,768,2,28,395225856.0,no,413.8979911804199
2,768,2,28,395225856.0,no,349.56836700439453
3,768,2,28,395225856.0,no,412.68372535705566
4,768,2,28,395225856.0,no,351.6991138458252
5,768,2,28,395225856.0,no,347.89109230041504
1,768,2,29,402305280.0,no,418.40314865112305
2,768,2,29,402305280.0,no,348.8752841949463
3,768,2,29,402305280.0,no,422.41597175598145
4,768,2,29,402305280.0,no,348.88625144958496
5,768,2,29,402305280.0,no,414.9160385131836
1,768,2,30,409384704.0,no,352.0362377166748
2,768,2,30,409384704.0,no,350.7046699523926
3,768,2,30,409384704.0,no,417.0207977294922
4,768,2,30,409384704.0,no,352.0045280456543
5,768,2,30,409384704.0,no,419.56615447998047
1,768,2,31,416464128.0,no,356.17804527282715
2,768,2,31,416464128.0,no,422.17230796813965
3,768,2,31,416464128.0,no,352.53262519836426
4,768,2,31,416464128.0,no,353.00254821777344
5,768,2,31,416464128.0,no,422.0926761627197
1,768,2,32,423543552.0,no,360.182523727417
